Station Name,City,State,Latitude,Longitude,Operator,Usage Type,Connector Type,Power (kW)
Green Planet EVCS - GO EC,Kottarakkara,Kerala,8.982143341,76.80932966,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Green Planet EVCS - GO EC,Kottarakkara,Kerala,8.982143341,76.80932966,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
RK EVCS - GO EC,Kundara,Kerala,8.948246626,76.64624714,GO EC (IN),Public - Membership Required,CCS (Type 2),30
RK EVCS - GO EC,Kundara,Kerala,8.948246626,76.64624714,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
SK EVCS - GO EC,Pathanapuram,Kerala,9.070991646,76.85631123,GO EC (IN),Public - Membership Required,CCS (Type 2),25
SK EVCS - GO EC,Pathanapuram,Kerala,9.070991646,76.85631123,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Erathu Motors EVCS - GO EC,Puthoor,Kerala,9.051367403,76.70324696,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Erathu Motors EVCS - GO EC,Puthoor,Kerala,9.051367403,76.70324696,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Vrindavan EVCS - GO EC,Inchakkad,Kerala,9.045128433,76.77360004,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Vrindavan EVCS - GO EC,Inchakkad,Kerala,9.045128433,76.77360004,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Vrindavan EVCS - GO EC,Inchakkad,Kerala,9.045128433,76.77360004,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
JB Power EVCS - GO EC,Adoor,Kerala,9.116847049,76.74511188,GO EC (IN),Public - Membership Required,CCS (Type 2),60
JB Power EVCS - GO EC,Adoor,Kerala,9.116847049,76.74511188,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Peninsula Park Residency EVCS - GO EC,Adoor,Kerala,9.145305964,76.76585839,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Green Earth - GO EC,Adoor,Kerala,9.153564154,76.73554436,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Green Earth - GO EC,Adoor,Kerala,9.153564154,76.73554436,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Sparkzone EVCS - GO EC,Kayamkulam,Kerala,9.145794596,76.45936322,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Sparkzone EVCS - GO EC,Kayamkulam,Kerala,9.145794596,76.45936322,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Zufo EVCS,Karunagappalli,Kerala,9.132307411,76.51385829,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Cartist - GO EC,Kayamkulam,Kerala,9.184739729,76.49029684,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Cartist - GO EC,Kayamkulam,Kerala,9.184739729,76.49029684,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Cartist - GO EC,Kayamkulam,Kerala,9.184739729,76.49029684,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
V Volte EVCS - GO EC,Haripad,Kerala,9.289000834,76.45653569,GO EC (IN),Public - Membership Required,CCS (Type 2),25
V Volte EVCS - GO EC,Haripad,Kerala,9.289000834,76.45653569,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Anjaly EVCS - GO EC,Omallor,Kerala,9.246935402,76.75730779,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Anjaly EVCS - GO EC,Omallor,Kerala,9.246935402,76.75730779,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Evergreen Continental EVCS - GO EC,Pathanamthitta,Kerala,9.263776809,76.7854353,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Quik Energy EVCS - GO EC,Chengannur,Kerala,9.311533027,76.62272053,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Quik Energy EVCS - GO EC,Chengannur,Kerala,9.311533027,76.62272053,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Quik Energy EVCS - GO EC,Chengannur,Kerala,9.311533027,76.62272053,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Amrutham Auto Care EVCS - GO EC,Chengannur,Kerala,9.342144723,76.59848784,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Amrutham Auto Care EVCS - GO EC,Chengannur,Kerala,9.342144723,76.59848784,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Changanassery Immaculate Mary EVCS,Changanassery,Kerala,9.459860218,76.55518359,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Changanassery Immaculate Mary EVCS,Changanassery,Kerala,9.459860218,76.55518359,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Calvarymount Jerry Plaza,Alliyar,Kerala,9.806942489,77.04794026,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Westgate Inn EVCS - GO EC,Kattappana,Kerala,9.747617293,77.1054177,GO EC (IN),Public - Membership Required,CCS (Type 2),25
GO EC Charging Station,Idukki,Kerala,9.66539882,77.16084695,GO EC (IN),Public - Membership Required,CCS (Type 2),30
GO EC Charging Station,Idukki,Kerala,9.66539882,77.16084695,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Sora EVCS - GO EC,Kumali,Kerala,9.614445835,77.15390991,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Sora EVCS - GO EC,Kumali,Kerala,9.614445835,77.15390991,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Open Kitchen EVCS - GO EC,Kuttikkanam,Kerala,9.580204298,76.97061173,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Open Kitchen EVCS - GO EC,Kuttikkanam,Kerala,9.580204298,76.97061173,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
